iter	Passed	Remaining
442	1594	2004
443	1598	2002
444	1604	2001
445	1608	1997
446	1612	1994
447	1615	1990
448	1629	1999
449	1636	2000
450	1640	1997
451	1644	1993
452	1648	1990
453	1653	1988
454	1657	1985
455	1661	1982
456	1700	2020
457	1703	2016
458	1723	2031
459	1726	2027
460	1732	2025
461	1735	2021
462	1739	2017
463	1744	2015
464	1750	2014
465	1754	2010
466	1774	2025
467	1778	2021
468	1783	2019
469	1787	2015
470	1791	2012
471	1796	2010
472	1800	2006
473	1803	2001
474	1805	1995
475	1807	1990
476	1810	1984
477	1812	1979
478	1815	1974
479	1817	1969
480	1820	1963
481	1822	1958
482	1827	1955
483	1829	1950
484	1831	1945
485	1834	1939
486	1836	1934
487	1838	1929
488	1842	1925
489	1845	1920
490	1888	1957
491	1892	1953
492	1894	1948
493	1897	1943
494	1899	1937
495	1901	1932
496	1904	1927
497	1908	1923
498	1910	1918
499	1913	1913
500	1915	1907
501	1917	1902
502	1919	1896
503	1923	1892
504	1925	1887
505	1928	1882
506	1930	1877
507	1932	1872
508	1935	1866
509	1939	1863
510	1942	1858
511	1944	1853
512	1946	1847
513	1948	1842
514	1950	1837
515	1955	1834
516	1957	1828
517	1959	1823
518	1962	1818
519	1964	1813
520	1966	1808
521	1970	1804
522	1973	1799
523	1975	1794
524	1977	1789
525	1979	1783
526	1981	1778
527	1985	1775
528	1988	1770
529	1990	1764
530	1992	1759
531	1994	1754
532	1997	1749
533	2001	1746
534	2003	1741
535	2005	1736
536	2008	1731
537	2010	1726
538	2012	1721
539	2016	1717
540	2018	1712
541	2021	1707
542	2023	1702
543	2026	1698
544	2033	1697
545	2035	1692
546	2038	1688
547	2041	1684
548	2045	1680
549	2052	1678
550	2054	1674
551	2057	1670
552	2061	1665
553	2065	1663
554	2068	1658
555	2071	1654
556	2074	1649
557	2079	1647
558	2082	1642
559	2084	1638
560	2087	1633
561	2089	1628
562	2094	1625
563	2097	1621
564	2100	1616
565	2102	1612
566	2105	1608
567	2110	1605
568	2113	1600
569	2116	1596
570	2118	1591
571	2121	1587
572	2126	1584
573	2129	1580
574	2132	1576
575	2135	1572
576	2138	1567
577	2142	1564
578	2145	1560
579	2147	1555
580	2150	1550
581	2152	1545
582	2156	1542
583	2158	1537
584	2160	1532
585	2163	1528
586	2165	1523
587	2167	1518
588	2170	1514
589	2173	1510
590	2175	1505
591	2177	1500
592	2180	1496
593	2182	1491
594	2184	1486
595	2187	1483
596	2190	1478
597	2192	1474
598	2195	1469
599	2197	1464
600	2199	1460
601	2203	1456
602	2206	1452
603	2208	1447
604	2210	1443
605	2213	1438
606	2215	1434
607	2219	1431
608	2221	1426
609	2224	1422
610	2226	1417
611	2228	1413
612	2231	1408
613	2233	1404
614	2236	1400
615	2238	1395
616	2241	1391
617	2243	1386
618	2246	1382
619	2250	1379
620	2252	1374
621	2255	1370
622	2257	1366
623	2259	1361
624	2262	1357
625	2267	1354
626	2270	1350
627	2272	1346
628	2275	1342
629	2278	1337
630	2281	1334
631	2283	1329
632	2286	1325
633	2288	1321
634	2290	1316
635	2293	1312
636	2295	1308
637	2299	1304
638	2301	1300
639	2303	1295
640	2306	1291
641	2308	1287
642	2311	1283
643	2314	1279
644	2317	1275
645	2319	1271
646	2321	1266
647	2324	1262
648	2326	1258
649	2330	1254
650	2332	1250
651	2335	1246
652	2337	1242
653	2340	1238
654	2344	1234
655	2347	1230
656	2349	1226
657	2351	1222
658	2354	1218
659	2356	1213
660	2360	1210
661	2362	1206
662	2364	1202
663	2367	1197
664	2369	1193
665	2371	1189
666	2375	1185
667	2377	1181
668	2380	1177
669	2382	1173
670	2384	1169
671	2387	1165
672	2389	1161
673	2392	1157
674	2395	1153
675	2397	1149
676	2399	1144
677	2401	1140
678	2404	1136
679	2407	1133
680	2410	1128
681	2412	1124
682	2414	1120
683	2416	1116
684	2419	1112
685	2422	1108
686	2425	1104
687	2427	1100
688	2429	1096
689	2432	1092
690	2434	1088
691	2437	1084
692	2439	1080
693	2443	1077
694	2446	1073
695	2448	1069
696	2450	1065
697	2454	1061
698	2456	1057
699	2459	1053
700	2461	1049
701	2463	1045
702	2465	1041
703	2469	1038
704	2471	1034
705	2474	1030
706	2476	1026
707	2478	1022
708	2481	1018
709	2483	1014
710	2486	1010
711	2489	1006
712	2491	1002
713	2493	998
714	2496	995
715	2498	991
716	2502	987
717	2504	983
718	2506	979
719	2509	975
720	2511	971
721	2513	967
722	2517	964
723	2519	960
724	2521	956
725	2524	952
726	2526	948
727	2529	944
728	2533	941
729	2535	937
730	2537	933
731	2539	929
732	2542	926
733	2544	922
734	2548	918
735	2550	914
736	2552	910
737	2555	907
738	2557	903
739	2559	899
740	2562	895
741	2565	892
742	2567	888
743	2570	884
744	2572	880
745	2574	876
746	2577	872
747	2580	869
748	2583	865
749	2585	861
750	2587	857
751	2590	854
752	2592	850
753	2595	846
754	2598	843
755	2600	839
756	2602	835
757	2605	831
758	2607	827
759	2611	824
760	2614	820
761	2616	817
762	2618	813
763	2620	809
764	2623	805
765	2626	802
766	2629	798
767	2631	794
768	2633	791
769	2636	787
770	2638	783
771	2642	780
772	2644	776
773	2647	772
774	2649	769
775	2651	765
776	2654	761
777	2657	758
778	2659	754
779	2662	750
780	2664	747
781	2666	743
782	2669	739
783	2671	736
784	2675	732
785	2677	728
786	2679	725
787	2682	721
788	2685	718
789	2690	715
790	2693	711
791	2696	708
792	2699	704
793	2701	700
794	2705	697
795	2707	693
796	2710	690
797	2712	686
798	2714	682
799	2716	679
800	2720	675
801	2722	672
802	2725	668
803	2727	664
804	2729	661
805	2732	657
806	2736	654
807	2738	650
808	2740	646
809	2742	643
810	2745	639
811	2747	636
812	2749	632
813	2753	629
814	2755	625
815	2758	621
816	2760	618
817	2762	614
818	2765	611
819	2768	607
820	2771	604
821	2773	600
822	2775	596
823	2777	593
824	2780	589
825	2783	586
826	2786	582
827	2788	579
828	2790	575
829	2793	572
830	2795	568
831	2799	565
832	2801	561
833	2803	558
834	2806	554
835	2808	551
836	2811	547
837	2815	544
838	2818	540
839	2820	537
840	2823	533
841	2825	530
842	2827	526
843	2832	523
844	2834	519
845	2837	516
846	2839	512
847	2842	509
848	2848	506
849	2851	503
850	2853	499
851	2856	496
852	2858	492
853	2862	489
854	2865	485
855	2868	482
856	2871	479
857	2873	475
858	2877	472
859	2881	469
860	2883	465
861	2886	462
862	2888	458
863	2891	455
864	2894	451
865	2897	448
866	2900	444
867	2902	441
868	2905	437
869	2909	434
870	2912	431
871	2914	427
872	2917	424
873	2920	420
874	2924	417
875	2928	414
876	2930	411
877	2933	407
878	2935	404
879	2939	400
880	2942	397
881	2944	393
882	2946	390
883	2949	387
884	2951	383
885	2955	380
886	2958	376
887	2961	373
888	2963	370
889	2966	366
890	2968	363
891	2972	359
892	2975	356
893	2978	353
894	2980	349
895	2982	346
